,sentir yo,morir yo,gana morir,querer morir,sentir vacío,querer dormir,querer llorar,vida mierda,sentir triste,gana llorar,querer sentir,sentir él,gana dormir,ansiedad ansiedad,ir yo,dejar sentir,yo querer,cortar yo,dejar llorar,dejar pensar
447,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
448,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
450,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
451,1,0,0,0,0,0,0,1,0,0,1,0,1,0,1,0,1,1,0,0
452,0,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,1,1,1,0
454,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0
458,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
460,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
461,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
462,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
463,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
464,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
465,1,0,0,0,0,0,1,1,1,1,1,0,1,1,1,0,0,1,0,1
467,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
468,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
469,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
472,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
473,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
475,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
476,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0
477,0,0,1,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0
478,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
479,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0
480,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
482,1,0,0,0,0,0,0,1,0,1,1,0,1,0,1,0,0,1,0,0
483,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0
484,1,1,1,1,0,0,1,1,1,1,1,0,1,0,0,0,1,1,1,0
485,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
488,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
491,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
497,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0
498,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,1,0
499,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0
500,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,1,0,0
501,1,0,0,0,1,0,0,1,0,1,1,0,1,0,1,0,1,1,0,0
503,1,0,0,0,0,0,1,1,1,1,1,0,1,0,1,0,1,1,0,1
