Node;word;frequency_word;betweenness_centrality;clustering_coefficient;eigenvector_centrality;Class_betweenness_centralitylow;Class_betweenness_centralitymedium;Class_betweenness_centralityhigh;Class_clustering_coefficientlow;Class_clustering_coefficientmedium;Class_clustering_coefficienthigh;Class_eigenvector_centralitylow;Class_eigenvector_centralitymedium;Class_eigenvector_centralityhigh
1352;ola;5,74E+10;0.015873015873015876;0.006109195921565334;0;1;0;1;0;1;0;1;0;
400;ojos;2.0;0.00015886206796181848;0.005323062117257546;0.006102303904148418;0;1;0;0;0;1;0;1;0
1368;presion;2.0;0.00010421081358491218;0.006394423554242982;0.006100751019192948;0;1;0;0;0;1;0;1;0
1231;suman;1.0;1,02E+11;0.021691317755279643;0.006095239815348937;0;0;1;1;0;1;0;1;0
1575;sonrisas;1.0;6,89E+09;0.034420338830332436;0.006079788616589468;0;0;1;1;0;1;0;1;0
1604;hundido;1.0;4,19E+10;0.012936194642439974;0.006078746997554555;0;1;0;0;1;0;0;1;0
1057;elegi;1.0;1,05E+11;0.011904761904761906;0.006065471269473931;0;0;1;0;1;0;0;1;0
1218;ando;1.0;4,52E+11;0.018659407223024928;0.006064924732393344;0;1;0;1;0;1;0;1;0
181;ocultas;1.0;5,85E+10;0.017627974485346858;0.00606039235547814;0;1;0;1;0;1;0;1;0
1500;debo;2.0;0.0012294990317588445;0.006549464813097178;0.006048730561379284;1;0;1;0;0;1;0;1;0
289;empiezo;1.0;4,58E+10;0.013967627380118045;0.006047397883168382;0;1;0;0;1;0;0;1;0
1247;comienzo;1.0;7,54E+10;0.01896731408605008;0.006046679475191606;0;1;0;1;0;1;0;1;0
1748;reaccion;1.0;3,58E+10;0.019721813478458614;0.00603068551894532;0;1;0;1;0;1;0;1;0
545;cortar;1.0;4,94E+11;0.018690380740780544;0.006028564973637509;0;1;0;1;0;1;0;1;0
145;autolesionarme;1.0;6,46E+10;0.013659720517092891;0.006026798760750268;0;1;0;0;1;0;0;1;0
1170;parecer;2.0;9,50E+10;0.00837357321586996;0.006009987892516568;0;1;0;0;1;0;0;1;0
505;causa;2.0;0.0004170229963342609;0.0070237423893663884;0.006001694993934249;1;0;1;0;0;1;0;1;0
643;hablo;1.0;1,45E+11;0.015873015873015876;0.005998911544473351;0;0;1;1;0;1;0;1;0
1557;todoesta;1.0;5,81E+10;0.015722585992449026;0.005995049451822613;0;1;0;0;1;0;0;1;0
512;reconozco;1.0;2,72E+11;0.02125071727412618;0.005989058431219688;0;1;0;1;0;1;0;1;0
1372;escribir;1.0;2,44E+11;0.015873015873015876;0.005977371797592169;0;1;0;1;0;1;0;1;0
1713;llegado;1.0;4,77E+11;0.015527504693541224;0.005975275097296171;0;1;0;0;1;0;0;1;0
1422;molestar;1.0;2,25E+09;0.011904761904761906;0.005972422101720387;0;1;0;0;1;0;0;1;0
559;fallaron;1.0;1,35E+11;0.011904761904761906;0.005968323652080306;0;0;1;0;1;0;0;1;0
1535;salga;1.0;3,69E+10;0.015873015873015876;0.00596647037628899;0;0;1;1;0;1;0;1;0
1199;avecespero;1.0;1,22E+11;0.019115557908064046;0.005903228865411274;0;0;1;1;0;1;0;1;0
1275;inalcanzable;1.0;5,80E+09;0.017935881348372013;0.00590221352633317;0;1;0;1;0;1;0;1;0
1201;muera;1.0;1,01E+10;0.019841269841269844;0.00590042304234759;0;0;1;1;0;1;0;1;0
1453;chiste;1.0;3,44E+11;0.015414679129423875;0.005891981365067938;0;1;0;0;1;0;0;1;0
1157;resumida;1.0;0.00020212231143462603;0.014722126772526578;0.005868394333575123;0;1;0;0;1;0;0;1;0
567;hacerte;1.0;0.0001367988656862671;0.013967627380118045;0.005856907542661845;0;1;0;0;1;0;0;1;0
993;tirada;1.0;1,02E+10;0.016904448610693942;0.005855176832436778;0;0;1;1;0;1;0;1;0
998;contenta;1.0;7,87E+10;0.013659720517092891;0.005852985127565244;0;1;0;0;1;0;0;1;0
1384;alla;1.0;1,72E+10;0.011904761904761906;0.005848552091851972;0;0;1;0;1;0;0;1;0
1267;satisfecho;1.0;1,44E+10;0.016904448610693942;0.005833791905132388;0;0;1;1;0;1;0;1;0
1015;alimento;1.0;4,47E+10;0.016904448610693942;0.005832902626941111;0;1;0;1;0;1;0;1;0
1131;intensidad;1.0;3,21E+11;0.012936194642439974;0.005821994929365985;0;1;0;0;1;0;0;1;0
916;amada;1.0;6,20E+10;0.011904761904761906;0.005807280625162257;0;1;0;0;1;0;0;1;0
1699;provocado;1.0;2,32E+09;0.016904448610693942;0.005803965724320638;0;1;0;1;0;1;0;1;0
1761;mandarme;1.0;2,17E+11;0.015873015873015876;0.005800155659436943;0;1;0;1;0;1;0;1;0
630;convirtiendo;1.0;3,48E+11;0.012936194642439974;0.005795281194890584;0;1;0;0;1;0;0;1;0
1585;atraque;1.0;3,94E+10;0.021235455110003007;0.005794908457052765;0;1;0;1;0;1;0;1;0
1684;empastillarme;1.0;9,30E+09;0.012936194642439974;0.005778381915544647;0;0;1;0;1;0;0;1;0
586;repitiendo;1.0;2,13E+11;0.011904761904761906;0.005746988356389609;0;1;0;0;1;0;0;1;0
415;aumentan;1.0;2,84E+11;0.01762797448534686;0.0057451597095203805;0;1;0;1;0;1;0;1;0
1313;sufro;2.0;0.00010016947560779326;0.007627463432458818;0.005740100874669373;0;1;0;0;0;1;0;1;0
1084;real;1.0;1,56E+11;0.015873015873015876;0.005737964866336799;0;0;1;1;0;1;0;1;0
967;sorprende;1.0;6,61E+09;0.011904761904761906;0.005735108383276131;0;0;1;0;1;0;0;1;0
1377;exagero;1.0;2,84E+11;0.01469115325477096;0.0057349942839451835;0;1;0;0;1;0;0;1;0
1482;horror;1.0;4,06E+10;0.018967314086050083;0.005717403716709895;0;1;0;1;0;1;0;1;0
750;desahogarse;1.0;1,87E+10;0.027052065844571985;0.005714833600215932;0;0;1;1;0;1;0;1;0
426;panza;1.0;1,38E+11;0.020159062789888507;0.005695794832838996;0;0;1;1;0;1;0;1;0
174;vine;1.0;9,38E+09;0.015873015873015876;0.005692933486551704;0;0;1;1;0;1;0;1;0
1597;ahhhg;1.0;2,15E+11;0.016904448610693942;0.0056871238303651764;0;1;0;1;0;1;0;1;0
1477;lograrlo;1.0;6,73E+10;0.013659720517092891;0.005684632021780507;0;1;0;0;1;0;0;1;0
963;existen;1.0;6,28E+10;0.016298583935547405;0.005668489213206096;0;1;0;1;0;1;0;1;0
