Node,word,frequency_word,betweenness_centrality,clustering_coefficient,eigenvector_centrality,Class_betweenness_centralitylow,Class_betweenness_centralitymedium,Class_betweenness_centralityhigh,Class_clustering_coefficientlow,Class_clustering_coefficientmedium,Class_clustering_coefficienthigh,Class_eigenvector_centralitylow,Class_eigenvector_centralitymedium,Class_eigenvector_centralityhigh
1194,acrecientan,1.0,0.00010195509859217962,0.017500564540377895,0.0044448582758580225,0,1,0,1,0,1,0,1,0
772,piel,2.0,6.09256574645309e-05,0.00915764358585829,0.004442111012543895,0,1,0,0,1,0,0,1,0
1219,aguanta,1.0,5.244254626876042e-05,0.018659407223024924,0.004439173021138853,0,1,0,1,0,1,0,1,0
1411,echando,1.0,2.5686546416229406e-05,0.011904761904761906,0.004434277709157068,0,1,0,0,1,0,0,1,0
1050,riendome,1.0,1.2744557090584767e-05,0.01762797448534686,0.004432901133326963,0,0,1,1,0,1,0,1,0
1427,asustais,1.0,2.5909256689487207e-05,0.013967627380118045,0.004428891294712071,0,1,0,0,1,0,0,1,0
1287,dijo,1.0,9.650103518599455e-06,0.011904761904761906,0.004419703214136879,0,0,1,0,1,0,0,1,0
1581,correr,1.0,6.436437189310225e-05,0.016904448610693942,0.0044159973781436185,0,1,0,1,0,1,0,1,0
362,part,,0.00012071167397203904,0.005952380952380953,0.004405669341189954,0,1,0,0,0,1,0,1,0
1683,machacan,1.0,2.5488783026281733e-06,0.015873015873015876,0.004404415678129929,0,0,1,1,0,1,0,1,0
997,cumpleanos,2.0,0.0002020633339648357,0.005952380952380953,0.004403988556461545,0,1,0,0,0,1,0,1,0
1215,andar,1.0,6.380914383776831e-05,0.014235718460191268,0.004402064052825167,0,1,0,0,1,0,0,1,0
853,deprimiday,1.0,1.5814046287246434e-05,0.012936194642439974,0.0043990807046881695,0,0,1,0,1,0,0,1,0
213,largo,1.0,2.1129890059901684e-05,0.013967627380118045,0.004396645984198811,0,1,0,0,1,0,0,1,0
259,extranaria,1.0,5.367798087128001e-06,0.01999874682372815,0.0043949565635716704,0,0,1,1,0,1,0,1,0
360,fuertepero,1.0,1.5172495943587761e-05,0.011904761904761906,0.004390035904824769,0,0,1,0,1,0,0,1,0
1585,engordado,1.0,0.0001194871327299808,0.011904761904761906,0.004388820589114574,0,1,0,0,1,0,0,1,0
1429,bach,,4.679542122195443e-05,0.011904761904761906,0.004388678062301601,0,1,0,0,1,0,0,1,0
871,servia,1.0,4.2360983725265215e-05,0.014235718460191268,0.004387652646635216,0,1,0,0,1,0,0,1,0
83,neutro,1.0,4.723901432261325e-06,0.015873015873015876,0.004383758692604578,0,0,1,1,0,1,0,1,0
680,olvido,1.0,0.00014661206496202516,0.011904761904761906,0.004381355218046201,0,1,0,0,1,0,0,1,0
1320,aho,1.0,2.742546896093117e-06,0.015873015873015876,0.004377499638629913,0,0,1,1,0,1,0,1,0
1609,vienen,1.0,5.173861816636227e-06,0.011904761904761906,0.004375897626984825,0,0,1,0,1,0,0,1,0
1476,tratar,1.0,3.788047435852824e-05,0.012936194642439974,0.004374238943998832,0,1,0,0,1,0,0,1,0
1523,podia,5.0,0.00010036521901495769,0.011904761904761906,0.004372415454094595,0,1,0,0,1,0,0,1,0
1368,patetico,1.0,7.675486790368838e-06,0.012936194642439974,0.004370949858277893,0,0,1,0,1,0,0,1,0
1475,cago,1.0,2.2402223744328986e-05,0.012936194642439974,0.0043692777793780625,0,1,0,0,1,0,0,1,0
1340,suelos,1.0,1.4485411522147757e-05,0.011904761904761906,0.00436647988106504,0,0,1,0,1,0,0,1,0
522,vencida,1.0,1.5022117872124492e-05,0.011904761904761906,0.0043639368923559215,0,0,1,0,1,0,0,1,0
323,borrar,1.0,6.4024297074534694e-06,0.016904448610693942,0.00436309352766756,0,0,1,1,0,1,0,1,0
1594,encuentran,1.0,2.1286382272939715e-05,0.011904761904761906,0.0043626337571218456,0,1,0,0,1,0,0,1,0
1100,monton,1.0,1.2956312716585333e-05,0.011904761904761906,0.004359380101783004,0,0,1,0,1,0,0,1,0
97,ponerme,2.0,0.00022358373142842002,0.00978127579540555,0.004356342548834559,0,1,0,0,1,0,0,1,0
1024,anos,9.0,2.8214929003847165e-05,0.011904761904761906,0.004354022205408468,0,1,0,0,1,0,0,1,0
820,pedo,1.0,1.4420686396772819e-05,0.016904448610693942,0.004351242632966715,0,0,1,1,0,1,0,1,0
286,salio,1.0,5.903665228913e-05,0.013659720517092891,0.00433955821916129,0,1,0,0,1,0,0,1,0
1048,viendo,2.0,0.00042863600718746496,0.0070237423893663884,0.00433877483427692,1,0,1,0,0,1,0,1,0
1002,asesino,1.0,9.281482481519975e-05,0.012936194642439974,0.004337758206727393,0,1,0,0,1,0,0,1,0
343,vendra,1.0,3.670154718791257e-05,0.015873015873015876,0.004336867647800267,0,1,0,1,0,1,0,1,0
1379,pues,1.0,1.2491958030872347e-05,0.011904761904761906,0.004335824984593377,0,0,1,0,1,0,0,1,0
1398,vi,1.0,3.742555162726137e-05,0.011904761904761906,0.004329256486820191,0,1,0,0,1,0,0,1,0
1440,verga,1.0,4.809488540904048e-06,0.015873015873015876,0.004323745416422005,0,0,1,1,0,1,0,1,0
982,errores,1.0,1.44986776549999e-05,0.015873015873015876,0.004319025952707397,0,0,1,1,0,1,0,1,0
438,grado,1.0,4.139252214728919e-05,0.018690380740780544,0.004307566312969138,0,1,0,1,0,1,0,1,0
1038,multitud,1.0,1.331674373759784e-05,0.011904761904761906,0.0043043559926969855,0,0,1,0,1,0,0,1,0
1030,paz,2.0,0.000222592644046778,0.005952380952380953,0.0043010464780038156,0,1,0,0,0,1,0,1,0
1175,via,1.0,0.0001225483369544394,0.011904761904761906,0.004297897724896275,0,1,0,0,1,0,0,1,0
1071,mirando,2.0,0.0001730467553989567,0.006629616895536364,0.004284612708273197,0,1,0,0,0,1,0,1,0
951,comiendo,1.0,1.8571144286116057e-05,0.016904448610693942,0.004277906566860322,0,0,1,1,0,1,0,1,0
1092,olvidar,1.0,2.3283617795062938e-05,0.014235718460191268,0.004268787131374946,0,1,0,0,1,0,0,1,0
674,escuche,2.0,0.0002927866294816857,0.006020479441370666,0.004263161731185163,0,1,0,0,0,1,0,1,0
833,impiden,1.0,1.8747546092265424e-05,0.018203972428445236,0.004253337973768018,0,0,1,1,0,1,0,1,0
25,ladepresionesmulticolor,1.0,1.2966634929506067e-05,0.016904448610693942,0.004252711576072113,0,0,1,1,0,1,0,1,0
1206,morirmesi,1.0,1.8772600791904222e-05,0.012936194642439974,0.0042509708211828775,0,0,1,0,1,0,0,1,0
1403,termina,1.0,1.1565750313836198e-05,0.011904761904761906,0.004249264678597825,0,0,1,0,1,0,0,1,0
1319,positivo,1.0,0.00011948291511851656,0.015873015873015876,0.004244703034379598,0,1,0,1,0,1,0,1,0
317,pense,3.0,0.00033526537592940085,0.005644884934882899,0.004237637160631992,0,1,0,0,0,1,0,1,0
1673,consigan,1.0,1.5120194800353105e-05,0.011904761904761906,0.004222399976450491,0,0,1,0,1,0,0,1,0
495,deprime,1.0,3.3681107605218374e-05,0.015873015873015876,0.004219174407204713,0,1,0,1,0,1,0,1,0
1777,habla,1.0,3.023379209866985e-05,0.011904761904761906,0.004216802182870039,0,1,0,0,1,0,0,1,0
1736,alma,1.0,6.296327017755783e-06,0.011904761904761906,0.0042159673569131945,0,0,1,0,1,0,0,1,0
486,perdonar,1.0,4.286263231670481e-06,0.01762797448534686,0.004208597755977574,0,0,1,1,0,1,0,1,0
950,entienda,1.0,2.774712803947311e-05,0.016904448610693942,0.004206051752092913,0,1,0,1,0,1,0,1,0
586,aaaaa,1.0,1.5095461774743386e-05,0.013659720517092891,0.004205058835359667,0,0,1,0,1,0,0,1,0
1279,tratado,1.0,0.00019082368373820585,0.011904761904761906,0.004205056732851395,0,1,0,0,1,0,0,1,0
1410,estallado,1.0,2.967022204745859e-05,0.011904761904761906,0.004202032909867247,0,1,0,0,1,0,0,1,0
490,compadecerse,1.0,1.1209502393435739e-05,0.011904761904761906,0.0041991196965583295,0,0,1,0,1,0,0,1,0
1404,merece,1.0,3.3341024678257815e-05,0.011904761904761906,0.00419749055438511,0,1,0,0,1,0,0,1,0
434,fallando,1.0,1.566216726163463e-05,0.012936194642439974,0.004197083482246534,0,0,1,0,1,0,0,1,0
1520,incapacidad,1.0,3.6008964875243815e-05,0.011904761904761906,0.004193578877342627,0,1,0,0,1,0,0,1,0
373,pensandolo,1.0,6.673370397372503e-05,0.015873015873015876,0.004190147989335839,0,1,0,1,0,1,0,1,0
1292,levantar,1.0,4.6509998924082054e-05,0.011904761904761906,0.004188795733798199,0,1,0,0,1,0,0,1,0
